transaction_id,item,quantity,price_per_unit,total_spent,payment_method,location,transaction_date
TXN_1086324,Cake,3,3.0,9.0,NULL,In-store,2023-11-25
TXN_1088497,Sandwich,1,4.0,4.0,"Digital Wallet",Takeaway,2023-07-05
TXN_1090854,Cookie,UNKNOWN,1.0,3.0,"Credit Card",In-store,2023-01-07
TXN_1091115,Sandwich,5,4.0,20.0,Cash,Takeaway,2023-11-04
TXN_1091243,Sandwich,2,4.0,8.0,NULL,In-store,2023-01-06
TXN_1093668,Coffee,2,2.0,4.0,"Digital Wallet",ERROR,2023-05-18
TXN_1093800,Sandwich,3,4.0,12.0,Cash,Takeaway,NULL
TXN_1094145,Cookie,3,1.0,3.0,"Credit Card",NULL,2023-03-15
TXN_1094479,Cake,3,3.0,9.0,UNKNOWN,In-store,2023-06-08
TXN_1096690,Smoothie,5,4.0,ERROR,"Credit Card",NULL,2023-10-09
TXN_1097334,Coffee,2,2.0,4.0,"Credit Card",Takeaway,2023-03-21
TXN_1099119,Smoothie,4,4.0,16.0,Cash,NULL,2023-02-09
TXN_1101527,Smoothie,UNKNOWN,4.0,20.0,"Digital Wallet",NULL,2023-04-20
TXN_1102876,Cookie,1,1.0,1.0,Cash,NULL,UNKNOWN
TXN_1103495,Juice,1,3.0,3.0,Cash,Takeaway,UNKNOWN
TXN_1103883,Cookie,5,1.0,5.0,"Credit Card",UNKNOWN,2023-08-09
TXN_1104849,UNKNOWN,4,4.0,16.0,"Digital Wallet",Takeaway,2023-07-05
TXN_1105589,Coffee,5,2.0,10.0,Cash,Takeaway,2023-07-04
TXN_1108326,Cake,2,3.0,ERROR,NULL,Takeaway,ERROR
TXN_1108663,Juice,3,3.0,9.0,Cash,Takeaway,2023-08-16
TXN_1109715,Cake,1,ERROR,3.0,UNKNOWN,In-store,2023-07-15
TXN_1116119,Smoothie,4,4.0,16.0,"Digital Wallet",In-store,2023-08-07
TXN_1118799,ERROR,4,4.0,NULL,"Credit Card",Takeaway,2023-09-19
TXN_1120969,Coffee,2,2.0,4.0,"Credit Card",NULL,2023-04-15
TXN_1121833,Coffee,4,2.0,8.0,"Credit Card",In-store,2023-03-16
TXN_1122140,Sandwich,4,4.0,16.0,Cash,NULL,2023-06-19
TXN_1122699,UNKNOWN,5,5.0,25.0,"Digital Wallet",In-store,2023-10-14
TXN_1122700,Salad,5,5.0,ERROR,"Digital Wallet",In-store,2023-11-09
TXN_1123138,Salad,1,5.0,5.0,Cash,In-store,2023-02-10
TXN_1123346,Tea,3,1.5,4.5,NULL,NULL,2023-07-31
TXN_1124311,Cookie,1,1.0,1.0,Cash,NULL,2023-05-05
TXN_1124655,Salad,3,5.0,15.0,Cash,NULL,2023-10-23
TXN_1124753,Salad,4,5.0,20.0,"Digital Wallet",In-store,2023-10-19
TXN_1124796,ERROR,5,1.5,7.5,"Credit Card",NULL,2023-10-28
TXN_1124900,NULL,4,4.0,16.0,"Credit Card",In-store,2023-09-08
TXN_1128577,Sandwich,1,4.0,4.0,"Digital Wallet",In-store,2023-11-23
TXN_1130142,Cookie,1,1.0,1.0,"Credit Card",In-store,2023-03-13
TXN_1130191,Smoothie,2,4.0,8.0,Cash,In-store,2023-04-06
TXN_1131785,Sandwich,1,4.0,4.0,Cash,NULL,2023-12-19
TXN_1132293,Tea,4,1.5,6.0,ERROR,NULL,2023-07-05
TXN_1132566,Cake,3,3.0,9.0,Cash,NULL,2023-02-27
TXN_1133945,Smoothie,2,4.0,8.0,"Digital Wallet",In-store,2023-10-23
TXN_1135215,Sandwich,3,4.0,12.0,NULL,In-store,2023-04-10
TXN_1135761,ERROR,3,3.0,9.0,"Digital Wallet",NULL,2023-01-30
TXN_1136554,Smoothie,3,4.0,12.0,UNKNOWN,Takeaway,2023-03-26
TXN_1139495,Salad,3,5.0,15.0,"Digital Wallet",NULL,2023-02-19
TXN_1141405,Cookie,1,1.0,1.0,NULL,NULL,ERROR
TXN_1141920,Coffee,4,2.0,8.0,"Digital Wallet",NULL,2023-10-26
TXN_1142233,Tea,5,1.5,7.5,"Digital Wallet",Takeaway,2023-09-01
TXN_1145592,Juice,1,3.0,3.0,"Credit Card",Takeaway,2023-09-11
TXN_1145888,Coffee,4,2.0,8.0,NULL,NULL,2023-01-26
TXN_1148060,Cookie,5,1.0,5.0,Cash,NULL,2023-10-12
TXN_1148874,Cookie,1,1.0,1.0,"Credit Card",In-store,2023-09-18
TXN_1148945,Coffee,1,2.0,2.0,NULL,UNKNOWN,2023-09-05
TXN_1149624,Cake,3,3.0,ERROR,NULL,NULL,2023-09-14
TXN_1150033,Juice,5,3.0,15.0,Cash,In-store,2023-04-18
TXN_1151605,Coffee,1,2.0,2.0,"Digital Wallet",Takeaway,2023-05-02
TXN_1152249,Smoothie,3,4.0,ERROR,NULL,In-store,2023-05-09
TXN_1153869,Smoothie,5,4.0,20.0,"Credit Card",Takeaway,2023-11-03
TXN_1154979,Coffee,3,2.0,6.0,"Credit Card",In-store,2023-12-11
TXN_1157817,Smoothie,1,4.0,4.0,"Digital Wallet",In-store,2023-04-25
TXN_1158197,Coffee,2,2.0,4.0,NULL,Takeaway,2023-05-21
TXN_1158829,Tea,1,UNKNOWN,1.5,"Credit Card",NULL,2023-10-02
TXN_1161606,Sandwich,5,4.0,20.0,"Credit Card",Takeaway,2023-09-20
TXN_1165762,NULL,3,2.0,6.0,"Credit Card",NULL,2023-10-22
TXN_1165779,Cookie,4,1.0,4.0,"Digital Wallet",Takeaway,2023-06-30
TXN_1166001,NULL,UNKNOWN,3.0,15.0,Cash,ERROR,NULL
TXN_1169615,Smoothie,5,4.0,20.0,"Digital Wallet",In-store,2023-03-16
TXN_1170198,Tea,4,1.5,6.0,"Credit Card",In-store,2023-02-09
TXN_1170807,Smoothie,5,4.0,20.0,NULL,In-store,2023-09-15
TXN_1171080,Sandwich,3,4.0,12.0,"Credit Card",NULL,2023-07-29
TXN_1171281,Coffee,2,2.0,4.0,"Digital Wallet",NULL,2023-02-06
TXN_1172121,Coffee,5,2.0,10.0,Cash,Takeaway,2023-08-26
TXN_1173155,Coffee,1,2.0,2.0,Cash,In-store,2023-03-14
TXN_1177438,Salad,4,5.0,20.0,NULL,Takeaway,2023-08-21
TXN_1180397,Smoothie,3,4.0,12.0,"Credit Card",Takeaway,2023-04-05
TXN_1180623,Sandwich,5,4.0,20.0,NULL,In-store,2023-09-23
TXN_1180969,Cookie,1,1.0,ERROR,"Digital Wallet",In-store,2023-01-06
TXN_1181626,Cookie,4,1.0,4.0,NULL,Takeaway,2023-02-06
TXN_1183208,Smoothie,5,4.0,20.0,ERROR,NULL,2023-08-26
TXN_1183212,Juice,4,3.0,12.0,NULL,In-store,2023-06-30
TXN_1183995,Salad,5,5.0,25.0,"Digital Wallet",Takeaway,2023-03-28
TXN_1184377,Juice,1,3.0,3.0,Cash,NULL,2023-10-25
TXN_1184715,Cake,2,3.0,6.0,NULL,NULL,2023-09-10
TXN_1185003,ERROR,5,3.0,15.0,Cash,Takeaway,2023-01-06
TXN_1185069,Salad,1,5.0,5.0,"Digital Wallet",UNKNOWN,2023-02-21
TXN_1185118,UNKNOWN,5,3.0,NULL,NULL,NULL,UNKNOWN
TXN_1185156,Smoothie,4,4.0,16.0,NULL,Takeaway,2023-03-23
TXN_1186221,Salad,4,5.0,20.0,Cash,Takeaway,2023-04-21
TXN_1188551,UNKNOWN,2,2.0,4.0,NULL,NULL,2023-03-20
TXN_1188596,Juice,1,3.0,3.0,Cash,NULL,2023-10-24
TXN_1190151,Juice,5,3.0,15.0,"Digital Wallet",NULL,2023-08-14
TXN_1190402,Cake,1,3.0,3.0,"Credit Card",Takeaway,2023-12-01
TXN_1191068,Salad,1,5.0,5.0,NULL,NULL,2023-05-19
TXN_1191659,Coffee,4,2.0,ERROR,"Credit Card",In-store,2023-11-21
TXN_1192009,Coffee,1,2.0,2.0,ERROR,NULL,2023-05-18
TXN_1192970,Coffee,2,2.0,4.0,"Digital Wallet",Takeaway,2023-06-17
TXN_1193221,Tea,3,1.5,4.5,"Credit Card",In-store,2023-10-21
TXN_1193551,Cookie,1,1.0,1.0,NULL,Takeaway,2023-01-07
TXN_1193809,Tea,3,1.5,4.5,"Digital Wallet",NULL,2023-01-21
TXN_1193930,Coffee,1,2.0,2.0,Cash,NULL,NULL
TXN_1196223,Juice,3,3.0,9.0,"Digital Wallet",In-store,2023-10-14
TXN_1196324,Tea,4,1.5,6.0,"Credit Card",In-store,2023-09-26
TXN_1196923,Smoothie,2,4.0,8.0,ERROR,NULL,2023-04-27
TXN_1197495,Juice,5,3.0,15.0,UNKNOWN,Takeaway,ERROR
TXN_1197536,Salad,3,5.0,15.0,NULL,Takeaway,2023-10-02
TXN_1199898,Smoothie,1,4.0,4.0,"Credit Card",NULL,2023-10-26
TXN_1200795,Sandwich,1,4.0,4.0,NULL,In-store,2023-08-18
TXN_1203191,Coffee,5,2.0,10.0,ERROR,In-store,2023-10-12
TXN_1203954,Sandwich,1,4.0,4.0,"Digital Wallet",NULL,2023-08-12
TXN_1204426,Sandwich,NULL,4.0,12.0,"Credit Card",NULL,2023-01-16
TXN_1205020,Tea,5,1.5,7.5,Cash,NULL,2023-10-03
TXN_1205522,Cake,5,3.0,15.0,NULL,In-store,2023-12-26
TXN_1205610,NULL,2,1.0,2.0,NULL,In-store,2023-07-19
TXN_1205773,Salad,5,5.0,25.0,Cash,NULL,2023-01-27
TXN_1206585,Tea,2,1.5,3.0,Cash,NULL,2023-06-29
TXN_1208561,NULL,ERROR,NULL,20.0,"Credit Card",NULL,2023-08-19
TXN_1208926,Cookie,4,1.0,4.0,"Credit Card",In-store,2023-12-07
TXN_1209852,Cookie,2,1.0,2.0,"Credit Card",In-store,2023-11-18
TXN_1210058,Tea,5,1.5,7.5,NULL,NULL,2023-11-25
TXN_1210183,Tea,3,1.5,4.5,ERROR,In-store,2023-01-23
TXN_1212652,Juice,3,3.0,9.0,"Credit Card",UNKNOWN,2023-01-30
TXN_1213938,Salad,5,5.0,25.0,"Digital Wallet",Takeaway,2023-07-06
TXN_1214868,Juice,4,NULL,12.0,Cash,In-store,2023-07-30
TXN_1216051,Cake,4,3.0,12.0,"Digital Wallet",Takeaway,2023-10-28
TXN_1217810,Cookie,1,1.0,1.0,"Digital Wallet",NULL,2023-07-06
TXN_1217959,Juice,2,3.0,6.0,"Digital Wallet",Takeaway,2023-07-28
TXN_1218016,Tea,3,1.5,4.5,"Digital Wallet",NULL,2023-11-26
TXN_1220061,Sandwich,3,4.0,12.0,"Digital Wallet",In-store,2023-09-03
TXN_1221777,Coffee,3,2.0,6.0,ERROR,In-store,2023-01-29
TXN_1221801,Smoothie,2,4.0,8.0,NULL,NULL,2023-06-17
TXN_1222338,Cookie,1,1.0,1.0,NULL,In-store,2023-10-11
TXN_1223805,Juice,3,3.0,9.0,UNKNOWN,In-store,2023-07-04
TXN_1224087,Coffee,5,2.0,10.0,"Digital Wallet",Takeaway,2023-03-20
TXN_1225638,Cake,4,3.0,12.0,Cash,Takeaway,2023-05-28
TXN_1226662,Salad,1,5.0,5.0,NULL,In-store,2023-06-17
TXN_1227800,Juice,3,3.0,9.0,Cash,Takeaway,2023-02-19
TXN_1228474,Smoothie,4,4.0,UNKNOWN,NULL,In-store,2023-11-20
TXN_1228652,Salad,1,ERROR,5.0,Cash,In-store,2023-07-24
TXN_1228888,Cookie,1,1.0,1.0,"Credit Card",In-store,2023-10-05
TXN_1228927,Tea,2,1.5,3.0,"Credit Card",NULL,2023-11-28
TXN_1229376,Cake,3,3.0,9.0,"Digital Wallet",In-store,2023-08-14
TXN_1230311,Juice,3,3.0,9.0,"Digital Wallet",UNKNOWN,2023-08-14
TXN_1231366,Sandwich,3,4.0,12.0,"Digital Wallet",Takeaway,2023-11-28
TXN_1231531,Coffee,5,2.0,10.0,"Digital Wallet",In-store,2023-07-24
TXN_1232346,Salad,5,5.0,25.0,"Digital Wallet",In-store,2023-01-04
TXN_1234097,Cookie,4,NULL,4.0,Cash,NULL,2023-12-04
TXN_1234390,Cake,2,3.0,6.0,"Digital Wallet",Takeaway,2023-06-02
TXN_1234907,Juice,1,3.0,3.0,"Credit Card",In-store,2023-05-02
TXN_1235828,Tea,4,1.5,6.0,Cash,Takeaway,2023-02-19
TXN_1235969,Cookie,1,1.0,1.0,"Digital Wallet",NULL,2023-07-08
TXN_1236759,Coffee,1,2.0,2.0,"Credit Card",In-store,2023-01-26
TXN_1236779,Juice,3,NULL,9.0,"Credit Card",In-store,2023-12-29
TXN_1237674,NULL,3,1.5,4.5,"Credit Card",UNKNOWN,2023-10-04
TXN_1239021,Sandwich,5,UNKNOWN,20.0,"Credit Card",UNKNOWN,2023-09-15
TXN_1239876,NULL,2,4.0,8.0,"Digital Wallet",In-store,2023-04-04
TXN_1240476,Juice,2,3.0,6.0,"Digital Wallet",Takeaway,2023-04-20
TXN_1242840,Smoothie,1,4.0,4.0,"Credit Card",NULL,2023-08-26
TXN_1243964,NULL,3,1.5,4.5,NULL,Takeaway,2023-12-01
TXN_1244299,Sandwich,2,4.0,8.0,Cash,Takeaway,2023-07-18
TXN_1244509,Smoothie,3,4.0,12.0,"Credit Card",In-store,2023-02-21
TXN_1244593,Salad,5,5.0,25.0,NULL,In-store,2023-04-11
TXN_1244739,Salad,2,5.0,10.0,"Credit Card",Takeaway,2023-09-13
TXN_1245485,Cake,1,ERROR,3.0,"Digital Wallet",ERROR,2023-05-15
TXN_1247244,Sandwich,1,4.0,4.0,"Digital Wallet",In-store,2023-12-27
TXN_1248167,UNKNOWN,1,4.0,4.0,Cash,NULL,2023-03-05
TXN_1248266,Salad,3,5.0,15.0,"Credit Card",In-store,2023-10-14
TXN_1248436,Cake,4,3.0,12.0,"Credit Card",Takeaway,2023-08-14
TXN_1249069,Coffee,2,2.0,4.0,NULL,ERROR,2023-01-22
TXN_1250407,Cookie,1,1.0,1.0,"Credit Card",Takeaway,2023-11-21
TXN_1251960,Sandwich,5,ERROR,20.0,"Digital Wallet",Takeaway,2023-11-20
TXN_1252575,Tea,1,1.5,1.5,"Digital Wallet",Takeaway,2023-10-16
TXN_1253619,Juice,5,3.0,15.0,NULL,NULL,2023-05-25
TXN_1254663,Coffee,3,2.0,ERROR,NULL,NULL,2023-08-15
TXN_1255476,Smoothie,1,4.0,4.0,NULL,NULL,2023-08-28
TXN_1256513,Coffee,4,2.0,8.0,"Credit Card",In-store,2023-02-21
TXN_1256536,Salad,1,5.0,5.0,ERROR,Takeaway,2023-12-16
TXN_1256851,Sandwich,4,4.0,16.0,UNKNOWN,In-store,2023-07-29
TXN_1259340,Tea,3,ERROR,UNKNOWN,"Digital Wallet",NULL,2023-02-24
TXN_1259671,Sandwich,UNKNOWN,4.0,12.0,"Digital Wallet",In-store,2023-10-08
TXN_1259824,Cookie,NULL,1.0,5.0,"Digital Wallet",Takeaway,2023-04-29
TXN_1260335,Cookie,4,1.0,4.0,"Digital Wallet",In-store,NULL
TXN_1260517,Smoothie,5,4.0,20.0,"Digital Wallet",Takeaway,2023-04-17
TXN_1261028,Juice,3,3.0,9.0,ERROR,In-store,2023-10-27
TXN_1263426,Sandwich,2,UNKNOWN,8.0,NULL,UNKNOWN,2023-10-20
TXN_1266278,Smoothie,1,4.0,4.0,NULL,Takeaway,2023-11-03
TXN_1266598,Cake,4,3.0,12.0,"Digital Wallet",NULL,2023-04-05
TXN_1267753,ERROR,3,1.5,4.5,"Credit Card",NULL,2023-06-28
TXN_1268480,Salad,5,5.0,25.0,Cash,In-store,2023-04-18
TXN_1268811,Salad,1,5.0,5.0,NULL,NULL,2023-01-04
TXN_1269172,Sandwich,1,4.0,4.0,Cash,NULL,2023-08-22
TXN_1269252,Cake,1,3.0,3.0,"Digital Wallet",Takeaway,2023-07-18
TXN_1270603,Juice,4,3.0,12.0,"Credit Card",Takeaway,2023-12-03
TXN_1272118,Cookie,4,1.0,4.0,"Credit Card",Takeaway,2023-04-21
TXN_1272815,Juice,4,3.0,12.0,"Credit Card",NULL,2023-08-07
TXN_1275124,Coffee,3,2.0,6.0,NULL,UNKNOWN,2023-06-21
TXN_1277813,ERROR,5,3.0,15.0,"Digital Wallet",NULL,2023-09-11
TXN_1277989,UNKNOWN,5,1.5,7.5,NULL,In-store,2023-08-09
TXN_1278539,Tea,1,1.5,1.5,"Credit Card",Takeaway,2023-04-04
TXN_1279428,Salad,1,5.0,5.0,"Digital Wallet",NULL,2023-03-02
TXN_1281536,Smoothie,5,4.0,20.0,"Digital Wallet",In-store,2023-03-19
TXN_1282260,Sandwich,5,4.0,20.0,"Digital Wallet",UNKNOWN,2023-07-21
TXN_1283149,Salad,2,5.0,10.0,"Credit Card",In-store,2023-01-23
TXN_1285279,Coffee,2,2.0,4.0,Cash,Takeaway,2023-04-09
TXN_1286779,Smoothie,ERROR,4.0,16.0,"Credit Card",NULL,2023-04-13
TXN_1289133,Juice,1,3.0,3.0,Cash,UNKNOWN,2023-09-19
TXN_1292430,Smoothie,1,4.0,4.0,"Credit Card",Takeaway,2023-03-09
TXN_1292476,Juice,4,3.0,12.0,"Digital Wallet",Takeaway,2023-09-07
TXN_1293057,Tea,2,1.5,3.0,"Digital Wallet",NULL,2023-07-03
TXN_1293509,Juice,3,3.0,9.0,Cash,In-store,UNKNOWN
TXN_1294101,Tea,5,1.5,7.5,"Digital Wallet",Takeaway,2023-03-31
TXN_1295824,Tea,1,1.5,1.5,"Credit Card",NULL,2023-08-01
TXN_1296879,Cake,1,3.0,3.0,NULL,Takeaway,2023-11-17
TXN_1297663,Smoothie,5,NULL,20.0,"Credit Card",NULL,2023-09-12
TXN_1298084,UNKNOWN,2,1.5,3.0,"Credit Card",Takeaway,2023-01-02
TXN_1299936,Coffee,1,2.0,2.0,NULL,Takeaway,2023-03-27
TXN_1299959,Smoothie,5,4.0,20.0,Cash,NULL,2023-06-23
TXN_1302920,Coffee,2,2.0,4.0,NULL,NULL,2023-08-16
TXN_1303984,Salad,4,5.0,20.0,"Digital Wallet",NULL,2023-07-24
TXN_1307239,Coffee,1,2.0,2.0,"Digital Wallet",Takeaway,2023-10-26
TXN_1307428,NULL,4,1.5,6.0,"Credit Card",NULL,NULL
TXN_1309055,UNKNOWN,2,2.0,4.0,"Credit Card",Takeaway,2023-11-09
TXN_1309653,Salad,2,5.0,10.0,Cash,In-store,NULL
TXN_1310741,Sandwich,3,4.0,12.0,NULL,Takeaway,2023-07-25
TXN_1311237,Cookie,4,1.0,4.0,"Credit Card",NULL,2023-11-11
TXN_1311519,Smoothie,5,4.0,20.0,Cash,NULL,2023-01-28
TXN_1313643,Cake,4,3.0,12.0,UNKNOWN,NULL,2023-02-11
TXN_1313701,Cookie,2,1.0,2.0,NULL,NULL,2023-10-03
TXN_1315214,Tea,2,1.5,3.0,"Digital Wallet",In-store,2023-11-03
TXN_1315847,Cake,1,3.0,3.0,"Digital Wallet",In-store,2023-06-19
TXN_1316036,ERROR,2,3.0,6.0,Cash,Takeaway,2023-10-27
TXN_1317114,Cookie,2,1.0,2.0,"Digital Wallet",Takeaway,2023-11-06
TXN_1318238,Sandwich,1,4.0,UNKNOWN,"Digital Wallet",Takeaway,2023-09-23
TXN_1318943,UNKNOWN,2,2.0,UNKNOWN,Cash,In-store,2023-06-13
TXN_1319834,Cookie,1,1.0,1.0,NULL,NULL,2023-03-31
TXN_1322421,Juice,4,3.0,12.0,"Credit Card",Takeaway,2023-03-05
TXN_1322520,ERROR,5,5.0,25.0,Cash,NULL,2023-07-12
TXN_1323030,Salad,4,5.0,20.0,NULL,In-store,2023-03-30
TXN_1324760,Tea,4,1.5,6.0,Cash,In-store,2023-01-18
TXN_1324930,Sandwich,5,4.0,UNKNOWN,"Credit Card",Takeaway,2023-01-11
TXN_1324968,Cookie,3,1.0,3.0,"Credit Card",In-store,2023-01-05
TXN_1325631,Cake,4,UNKNOWN,12.0,"Credit Card",In-store,2023-02-11
TXN_1326993,Cookie,3,1.0,3.0,UNKNOWN,In-store,2023-12-30
TXN_1328230,Sandwich,5,4.0,20.0,Cash,NULL,2023-02-03
TXN_1328953,Smoothie,3,4.0,12.0,NULL,NULL,2023-12-28
TXN_1328968,Tea,1,ERROR,1.5,NULL,In-store,2023-06-28
TXN_1329167,Tea,5,1.5,7.5,NULL,Takeaway,2023-01-14
